GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.controller,StudentController.PendingEnrollmentDTO,12,0,0,0,5,0,1,0,1,0
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.controller,StudentController.StudentClassDTO,59,0,2,0,19,0,4,0,3,0
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.controller,StudentController.PaymentTransactionDTO,25,0,0,0,6,0,4,0,4,0
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.controller,StudentController.TuitionFeeDTO,47,0,0,0,11,0,4,0,4,0
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.controller,StudentController.StudentGradeDTO,150,0,30,0,43,0,19,0,4,0
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.controller,StudentController,2193,745,264,64,471,159,162,24,17,5
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.controller,StudentController.DetailedGradeDTO,147,0,30,0,42,0,19,0,4,0
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.controller,StudentController.SemesterDTO,143,0,20,0,28,0,13,0,3,0
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.controller,StudentController.GradeDTO,138,0,30,0,39,0,19,0,4,0
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.controller,StudentController.TeacherClassDTO,15,0,0,0,6,0,1,0,1,0
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.service,UserResource,224,0,22,0,55,0,15,0,4,0
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.service,StudentService,63,12,2,0,13,4,5,3,4,3
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.service,ClassroomService,350,0,56,0,79,0,38,0,10,0
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.service,TuitionResource,508,0,56,0,101,0,31,0,3,0
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.service,SemesterResource,475,0,46,0,105,0,29,0,6,0
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.service,SubjectResource,104,0,8,0,25,0,8,0,4,0
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.service,EnrollmentResource,385,52,51,7,94,10,31,2,2,2
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.service,ClassroomResource,223,0,28,0,48,0,19,0,5,0
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.repository,SubjectRepository,0,3,0,0,0,1,0,1,0,1
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.repository,StudentRepository,20,15,4,0,3,2,3,2,1,2
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.model,PaymentTransaction,19,19,0,0,7,9,6,5,6,5
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.model,Student,29,36,0,0,10,16,8,10,8,10
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.model,Enrollment,10,24,0,0,4,10,3,6,3,6
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.model,TuitionFee,19,40,0,0,7,17,6,9,6,9
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.model,Semester,4,27,0,0,2,11,1,8,1,8
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.model,Classroom,28,45,0,0,10,21,9,12,9,12
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.model,TeacherSubject,13,11,0,0,5,5,4,3,4,3
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.model,DataInitializer,10,2530,9,53,4,272,9,30,0,8
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.model,Grade,23,36,0,0,9,16,7,10,7,10
EnrollmentWhiteBoxTest (QuarkusTest),com.example.studentgrade.model,Subject,7,38,0,0,3,16,2,11,2,11
